ref,term_kor,term_eng,def_kor
http://m.kmle.co.kr//ebook_terminology_view.php?Num=419&Md=9854f57565b9a5b3d8e4093ab9bc2f6f&TitleLetter=%B4%E7%B4%A2%BA%B4%BD%C5%B0%E6%BA%B4%C1%F5%3A+diabetic+neuropathy,당뇨병신경병증,diabetic neuropathy,    오래된 당뇨의 합병증으로 발생한다. 대개 당뇨병에 이환된 경우 당뇨병 자체에 의한 병보다 오랜 기간후의 합병증에 의해 목숨을 잃는 경우가 많다. 초기에 당뇨병에서 혈중포도당농도를 잘 조절하는 경우 이런 합병증이 발생하는 경우가 낮으나 그렇지 못한 경우 합병증 발생이 많다. 대개 한번 발생한 경우 치료는 어렵고 그 진행 또한 늦출 수 없다고 한다. 증상은 감각의 저하를 가져와 아픔을 잘 느끼지 못하므로 주위 물건이나 사람과 잘 부딪히고 부딪힌 후에도 사실을 인지하지 못해 계속적인 외상을 받게 되므로 부딪히기 쉬운 관절이나 발가락 발목부분 등에 손상을 가져온다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=420&Md=a09db829dba02bb5079ef39c6ae594a1&TitleLetter=%B4%E7%B4%A2%BA%B4%C0%FC%B1%E2%3A+prediabetes,당뇨병전기,prediabetes,    당대사의 잠재적 결함상태로서 이 시기는 참당뇨병의 기준에 맞지 않으며 때로는 식사요법만으로 조절이 가능하다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=421&Md=aa77a1a3c7ef5d6d79dfda0a7c984c2c&TitleLetter=%B4%E7%B4%A2%BA%B4%C4%E1%C6%CF%BA%B4%C1%F5%3A+diabetic+nephropathy,당뇨병콩팥병증,diabetic nephropathy,    오래된 당뇨의 합병증으로 발생한다. 대개 당뇨병에 이환된 경우 당뇨병 자체에 의한 질병보다 오랜 기간후의 합병증에 의해 목숨을 잃는 경우가 많다. 초기에 당뇨병에서 혈중 포도당농도를 잘 조절한 경우 이런 합병증이 발생하는 경우가 낮으나 그렇지 못한 경우 신장의 합병증이 발생할 수 있다. 한번 발생한 경우 치료는 불가능하며 그 진행 또한 늦출 수 없다. 치료법은 오직 하나 콩팥이식술에 의해서만 가능하며 이식술을 시행한 이후에도 혈당량의 조절은 필수적이다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=422&Md=5c89a9123f09e12596474d6f8812ec9d&TitleLetter=%B4%EB%B1%E2%BF%C0%BF%B0%3A+air+pollution,대기오염,air pollution,    인간이나 동식물의 건강생활에 피해를 주는 인위적 발생원으로 인해 대기가 오염된 상태. 인간사회의 생산유통소비의 각 과정에서 배출되는 대기오염물질에 의해 사람의 건강은 물론 동식물토양지형기후수리 등으로 얽힌 생태계의 안정성이 방해될 때를 대기가 오염되었다고 한다. 여기에서 대기오염물질이란 대기의 조성을 변화시켜 인간사회나 생태계에 영향을 미칠 정도로 존재하는 천연 또는 인공물질을 말하며 고체액체기체 또는 이들의 혼합물이 포함된다. 단일한 물질만으로 된 대기 오염물질은 드물며 일반적으로는 많은 종류와 크기로 된 복합물질이다. 크게 나누면 특정한 발생원에서 직접 방출되는 일차 오염물질과 두 종류 이상의 일차 오염물질에 의한 상호작용이나 광화학반응 등에 의해 생긴 이차 오염물질이다. 매연 먼지 일산화탄소 따위와 같은 물질이 공기와 섞이는 일이 대기오염의 예이며 그뿐 아니라 이산화탄소의 증가로 인하여 지구의 온난화 그리고 프레온 가스로 인한 오존층의 파괴 따위가 문제시되고 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=423&Md=e734b4406d28bcc79ddc5bcf076ec28b&TitleLetter=%B4%EB%B3%FA%3A+cerebrum,대뇌,cerebrum,    대뇌란 뇌의 가장 큰 부분을 차지하고 있는 곳으로 고차원적인 사고와 행동의 결정 등을 하는 곳이다. 대뇌는 크게 두 개의 반구()로 나뉜다. 그리고 두 개의 반구는 뇌들보( )으로 이어져 있다. 대뇌의 표면에는 수많은 고랑이 파여 있고 그 고랑사이로 꾸불꾸불한 이랑이 많이 존재한다. 이 고랑을 (고랑)라고 하고 그 사이의 이랑을 라고 한다. 대뇌의 몇개의 이랑이 모여서 큰 부분을 이루는데 이것을 엽()이라고 한다. 대뇌의 한쪽 반구는 이마엽( ) 마루엽( ) 관자엽( ) 뒤통수엽( )의 개의 엽으로 이루어져 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=424&Md=642b2f05d8d7c36df6c85336a0dcd525&TitleLetter=%B4%EB%B3%FA%B0%D1%C1%FA%3A+cerebral+cortex,대뇌겉질,cerebral cortex,    대뇌의 표면부위를 대뇌겉질이라고도 한다. 대개 얕은회색질(  )와 동의어로 쓰인다. 회색질이란 대뇌의 표면에 신경세포가 모여있는 곳으로 회색을 띠는 부분을 말한다. 이와는 대조적으로 백색질이란 신경세포가 내는 신경섬유가 분포하는 곳이며 대뇌에서 회색질의 안쪽에 존재한다. 참고로 말하면 척수에서는 대뇌와 반대로 회색질 안쪽에 존재하고 백색질이 밖에 존재한다. 즉 척수에서는 신경세포가 척수의 안쪽에 존재하고 바깥쪽에 그 신경세포가 내는 신경섬유가 존재한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=425&Md=0096f9375b3fe18aec9a140a6f42b283&TitleLetter=%B4%EB%B3%FA%B5%BF%B8%C6%3A+cerebral+artery,대뇌동맥,cerebral artery,    대뇌의 혈액을 공급하는 동맥. 대뇌의 앞부분의 혈액을 공급하는 앞대뇌동맥(  ) 중간부위의 혈액을 공급하는 중간대뇌동맥(  ) 뒷부분의 혈액을 공급하는 뒤대뇌동맥(  )의 세 가지가 있다.    대뇌는 크게 두 가지 동맥에 의해서 혈액을 공급받는다. 하나는 속목동맥(  )이고 하나는 척추동맥( )이다. 이 동맥들은 좌우로 두 개씩 쌍을 이루어 뇌에 혈액을 공급한다. 척추동맥은 대동맥에서 나와서 목뼈에 있는 가로돌기구멍을 통해서 머리쪽으로 올라온다. 그리고는 두 개의 좌우 척추가 한 개로 합쳐져서 바닥동맥라는 동맥을 이룬다. 목동맥은 대동맥에서 기시하여 속목동맥과 바깥목동맥으로 나뉜다(나뉘기 이전을 온목동맥이라 한다). 바깥목동맥은 얼굴과 뇌를 제외한 머리의 부위에 혈액을 공급하는 혈관이고 속목동맥은 뇌에 혈액을 공급한다.     .   .      .   . 
http://m.kmle.co.kr//ebook_terminology_view.php?Num=426&Md=90ef43f9c909a57bc978aa248c60fb7b&TitleLetter=%B4%EB%B3%FA%B9%DD%B1%B8%3A+cerebral+hemisphere,대뇌반구,cerebral hemisphere,    대뇌란 뇌의 가장 큰 부분을 차지하는 곳으로 사고 운동 성격 기억 등의 고차원적인 기능을 행하는 곳이다. 대뇌는 크게 좌 우 두 개로 나뉘어져 있고 각각을 좌 우 대뇌반구라고 한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=427&Md=af93e0a49f6b1c26cba1a28850cd9bf4&TitleLetter=%B4%EB%B5%BF%B8%C6%3A+aorta,대동맥,aorta,    심장에서 나온 피를 사지로 보내 주는 큰 혈관. 위치에 따라서 오름대동맥( ) 대동맥활( ) 내림대동맥( ) 가슴대동맥( ) 배대동맥( )등으로 나눈다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=428&Md=6ec71bf58c874aac4a73e2763692c688&TitleLetter=%B4%EB%B5%BF%B8%C6%C3%E0%C2%F8%28%C1%F5%29%3A+aortic+coarctation,대동맥축착(증),aortic coarctation,    선천심장병의 한 가지. 대동맥의 일부가 목이 졸리듯 좁아지는 병. 대동맥 활에 주로 생겨서 팔과 다리에서의 혈압이 차이가 남. 이러한 축착이 어디에 생기는 것에 따라 치료가 다르다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=429&Md=ba80a2a6a5c235c0990c97b9b57abbff&TitleLetter=%B4%EB%B8%B6%28%C3%CA%29%3A+cannabis,대마(초),cannabis,    대마의 잎으로 환각작용이 있는 물질. 이것을 가공하여 마리화나를 만들기도 한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=430&Md=c78c400a3868dcff71aef90f13964a53&TitleLetter=%B4%EB%B9%DF%C0%DB%3A+grand+mal+seizure,대발작,grand mal seizure,    간질이란 뇌조직의 병변 또는 기능적인 장애로 인하여 발작적으로 신경기능장애를 일으켜 여러 가지 신경증상 즉 돌발적인 의식상실 경련 정신 또는 감각장애를 일으키는 병이다. 대발작이란 발작의 가장 심한 형태로 환자는 의식을 소실하고 넘어지게 되어 우선 온몸의 근육이 수축을 하는 긴장기( )가 있고 다음으로 근육이 수축과 이완을 빨리 반복하는 간대기( )가 이어진다. 발작기 사이에는 의식의 소실과 자율신경의 이상으로 침을 많이 흘리고 대 소변을 지리는 수도 있다. 분간 지속하고 발작후에 깊은 잠에 빠지는 수가 많다. 대개 조짐(발작하기전에 환자가 느끼는 이상한 기분 신체적 증상)가 있어서 환자가 발작하는 것을 예감한다고 한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=431&Md=8e4ebe73b1988a14a3666559384f9c69&TitleLetter=%B4%EB%BA%AF+%B1%B8%BE%C6%C0%CC%BE%C7+%B0%CB%BB%E7%3A+stool+guaiac+test,대변 구아이악 검사,stool guaiac test,    대변내에 있을 수 있는 잠혈(눈에 보이지 않는 출혈)유무를 검사하는 방법으로 혈구내의  에 의해 이 산화되는 반응을 이용하여 측정한다. 방법은 일간에 걸쳐 한 변에서 군데씩 채취하여 검사한다. 위양성 반응(거짓으로 혈액이 있다고 나타나는 반응)은 식물 과산화효소를 함유하고 있는 홍당무의 섭취나 혈구 성분을 함유하고 있는 고기 섭취 등에서 나타날 수 있으며 위음성 반응(실제로 혈액은 있지만 혈액이 없다고 나타나는 반응)은 환원력을 가지고 있는 비타민 의 복용시 나타날 수 있다. 특히 위양성 반응이 매우 흔하다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=432&Md=2d50d3d3e928261831083e83265afacf&TitleLetter=%B4%EB%BA%AF+%B9%E8%BE%E7%3A+stool+culture,대변 배양,stool culture,    대변을 대변통에 적당량 담아 보내고 직장도말(  직접 항문에서 대변을 묻혀서 받아내는 것)검체는 두개의 면봉을 운반배지에 넣어 보낸다. 먼저 그람염색하여 백혈구가 보이는 지를 관찰하고 백혈구가 많이 보이면 대부분 세균성 이질일 가능성이 높다. 배양방법은 균에 따라 다르며 살모넬라()는  우무에 배양하며 옐시니아()는  우무에 배양하며 비브리오()는  우무에 배양하며 클로스트리듐()은  우무에 배양하며 최근 발견된 장용혈성 대장균()은   우무에서 배양한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=433&Md=d864af211548386a4fac22ca184d6bd3&TitleLetter=%B4%EB%BA%AF%2C+%BA%AF%3A+stool,"대변, 변",stool,    소화관과 항문을 통하여 배출되는 똥을 말한다. 창자. 그 내용은 음식물이 소화 흡수되지 않는 것 소화액의 나머지 위장관의 상피가 벗겨진 것 창자내 미생물 등을 포함하고 있다. 따라서 절식을 하고 있어도 소량의 대변은 배설된다. 대변의 양과 횟수는 음식물의 종류분량소화흡수 상태에 따라서 다르지만 대개 하루에 으로 한번 배설하는 것이 보통이다. 일반적으로 동물성 식품을 많이 먹으면 식물성 식품을 많이 섭취했을 때보다 배설되는 양이나 횟수가 적다. 빛깔은 담즙색소 때문에 갈색을 띠지만 육식이 많으면 흑갈색이 되고 설사 때는 황색황록색이 된다. 약의 복용에 따라서도 여러 가지 빛깔을 띠게 되는데 철제비스무트에 의해 흑색 세나()에 의해 황적색 규산알루미늄으로 은회색이 된다. 또한 상부 소화관에서 다량의 출혈이 있으면 타르 모양의 질척한 흑색 변이 된다. 대변의 냄새는 인돌스카톨황화수소에 의한 것이다. 육식을 많이 섭취하면 인돌과 스카톨의 발생이 늘어나 냄새가 강해진다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=434&Md=0e49fde4a786bda73f54e9f9fa1576f7&TitleLetter=%B4%EB%BA%AF%BD%C7%B1%DD%3A+fecal+incontinence,대변실금,fecal incontinence,    항문조임근의 수의적 조절이 되지 않아 대변이나 방귀가 불수의적으로 일어나는 것. 배변의 수의적 조절이 손실된 상태로 척수손상 선천이상 곧창자와 항문의 손상 곧창자탈출 당뇨병 심한 치매 대변의 꽉 들어참 넓은 범위의 염증 반응과 종양에 의해 발생할 수 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=435&Md=c79d3273b14efed3440126aca5bf6508&TitleLetter=%B4%EB%BB%F3+%C6%F7%C1%F8%3A+herpes+zoster,대상 포진,herpes zoster,    수두를 일으키는 바이러스와 같은 바이러스가 원인인 병. 처음 감염으로 수두를 일으킨   바이러스는 수두가 다 낫고 나면 사라지는 것이 아니고 사람의 척수에서 나오는 신경인 척수신경의 감각을 담당하는 신경절에서 잠복을 하고 있다. 그러다가 사람의 면역기능이 저하될 때 체내에 잠재해 있던 바이러스가 재활성화()되어 발병하는 것으로 생각되고 있다. 잠복하고 있던 척수신경의 신경절에서 나와서 그 척수신경을 따라 피부병터가 생기는데 그 이전에 동통과 감각이상 등의 증상이 선행된다. 피부의 병터는 우선 작은 크기의 피부의 융기물이 주로 한쪽에 선상으로 배열을 한 형태로 생기고 이를 뒤이어서 이것이 물집으로 바뀐다. 가장 흔히 오는 부위는 흉부이며 뇌신경을 침범하기도 한다. 치료는 동통을 완화하는 치료만을 시행한다. 바이러스에 작용하여 바이러스를 죽이는 약물은 병터의 치유를 빨리 하고 통증을 완화시키고 피부이외의 다른 기관으로 이 바이러스가 진행하는 것을 막지만 정상인에게 있어서는 시간이 지나면 완치가 되므로 잘 사용치 않는다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=436&Md=e5475505b15aaf32dbb8d2b8ade1d8af&TitleLetter=%B4%EB%BC%F6%C6%F7%3A+bulla,대수포,bulla,    피부의 병변으로 맑은 액체를 포함하는 이상의 융기물을 말한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=437&Md=369649bac53c5316370a2ac3b801fbcf&TitleLetter=%B4%EB%C0%BD%BC%F8%3A+labium+major,대음순,labium major,    여성의 성기 가장 바깥쪽에 해당하는 부분.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=438&Md=ad3d95f702a097bae0128f17c9174445&TitleLetter=%B4%EB%C0%E5%BF%B0%2C+%B0%E1%C0%E5%BF%B0%3A+colitis,"대장염, 결장염",colitis,    큰창자에 생긴 염증을 말한다. 만성적이고 재발을 잘하는 대장의 염증을 특징으로 하는 병. 이중 궤양성대장염( )은 점막과 점막하조직에만 염증이 생기고 이 이하의 조직인 근육층과 장막층에는 염증이 없는 것이 특징이다. 대개 항문과 곧창자에 호발한다. 증상으로는 쥐어짜는 듯한 배아픔과 항문출혈 대변속에 고름이나 이상한 점액의 배출 등이 있다. 이것이 오래 지속이 될 경우에는 대장암으로 이행될 수도 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=439&Md=4a19b6847d4de44562590183af227bc7&TitleLetter=%B4%EB%C1%A4%B8%C6%3A+vena+cava,대정맥,vena cava,    .상대정맥(  ). 머리속 위탈 가슴정맥의 혈액을 받아 두개의 팔머리정맥( )의 융합에 의해 시작되며 직접 하강해 우심방으로 열린다.    .하대정맥(  ). 다리 골반 및 복부내장의 정맥의 혈액을 받아 두개의 온엉덩정맥(  )이 제허리뼈 높이에서 융합해 시작되며 대동맥 우측을 상행하여 우심방으로 열린다.      .   .     
http://m.kmle.co.kr//ebook_terminology_view.php?Num=440&Md=6e98a0e217c66afce36da8c767ab918b&TitleLetter=%B4%EB%C1%B6%3A+contrast,대조,contrast,    차이를 명확히 하기 위한 비교 대비. 대상물의 구성 요소에 의하여 생긴 사진 또는 필름의 농도 변화에 관한 식별역.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=441&Md=a13b469472a165691f59700a50d54302&TitleLetter=%B4%EB%C1%F5%BF%E4%B9%FD%3A+symptomatic+therapy,대증요법,symptomatic therapy,    병의 원인을 찾아 없애기 곤란한 상황에서 겉으로 나타난 병의 증상에 대응하여 처치를 하는 치료법. 열이 높을 때에 얼음주머니를 대거나 해열제를 써서 열을 내리게 하는 따위가 이에 속한다. 
http://m.kmle.co.kr//ebook_terminology_view.php?Num=442&Md=f4ebc3b13d50cf3bdea078bfe97ea5c8&TitleLetter=%B4%EB%C4%AA%3A+symmetry,대칭,symmetry,    점이나 또는 평면에서 양쪽에 있는 부분이 똑같은 형으로 배치되어 있는 것. 점인 경우는 점대칭 평면인 경우는 평면대칭이라 한다. 평면상에 두 개의 도형 와 가 있을 때 상의 점 와 상의 점 를 대응시켜 대응하는 점 와 를 연결하는 항상 하나의 정점 로써 이등분된다면 도형 와 는 점 에 대하여 점대칭이다. 또한 평면상의 두 도형 와 가 있을 때 상의 점 와 상의 점 를 대응시켜 대응하는 점 와 를 연결한 선이 항상 일정한 직선에 의해 수직 이등분되면 도형 와 는 직선에 대해 선대칭이다. 같은 방법으로 공간에서의 면대칭을 정의할 수 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=443&Md=b119a75892fde4fa93e3115f7b9f3eba&TitleLetter=%B4%FD%C7%CE%C1%F5%C8%C4%B1%BA%3A+dumping+syndrome,덤핑증후군,dumping syndrome,    부분적 위절제술 또는 위빈창자연결술을 받은 환자에게서 음식을 먹은 후에 일어나는 증후군이다. 명치 부분의 팽만감과 압박감구역구토 등의 복부증상 외에 탈력감현기증발한가슴띔 등 순환장애 증상이 따른다. 그런 증상은 섭취한 음식물이 위에서 작은창자로 추락하듯 배출됨으로써 음식물의 무게로 인해 소화관이 아래쪽으로 쳐져든다. 작은창자벽이 급격하게 늘어나든가 화학적 자극으로 인한 작은창자벽의 자율신경반사 작은창자벽의 삼투압에 의해 소화관으로 수분이 급속히 대량 이동하여 순환되는 혈액의 양이 감소하여 일어난다. 주로 식사요법으로 치료하여 약물요법으로는 아트로핀헥사메토늄페노바르비탈탄산수소나트륨의 사용 및 포도당주사도 효과가 있다. 수술요법은 빌로스() 제법으로의 변환 대용위의 제작 등이 있으나 확실한 것은 아니다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=444&Md=20d3df3d16b55b61dc5b18bc002cdd59&TitleLetter=%B5%A1%B4%EB%2C+%BA%CE%B8%F1%3A+stent,"덧대, 부목",stent,    . 좁아진 부위를 금속으로 만든 구조. 기능을 회복시킨다. . 식피를 고정하기 위하여 사용되는 주형으로서 스텐트화합물 또는 다른 아크릴 혹은 치과용 화합물로 만든다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=445&Md=7becca27c62d7e89874d77a6806c2d3f&TitleLetter=%B5%A2%BE%EE%B8%AE%C0%FD%C1%A6%BC%FA%28%C1%BE%B1%AB%C0%FD%C1%A6%BC%FA%29%3A+lumpectomy,덩어리절제술(종괴절제술),lumpectomy,    대개 종양에서 종양 덩어리만 떼어내는 것. 예컨대 유방을 그대로 둔 채. 그 병터 부위만 자르는 경우에 해당한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=446&Md=80053eb7479eb3a61f141a80f87e7bee&TitleLetter=%B5%A5%B8%DE%B7%D1%3A+Demerol,데메롤,Demerol,     의 상품명으로 진정제의 일종이다. 몰핀과 같은 수용체를 통해서 작용을 하며 마취를 하기전에 쓰이는 약제로 모르핀 대용으로 많이 쓰인다. 약간 쓴 맛이 있고 물에 잘 녹는다. 약간의 구역이 따르고 자극 감수성과 대사를 저하시키지만 모르핀 대용약제로서는 우수하다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=447&Md=c6728e2728fd2d74fa8d096033d6cd47&TitleLetter=%B5%A5%BF%C1%BD%C3%B8%AE%BA%B8%C7%D9%BB%EA%3A+deoxyribonucleic+acid+%28DNA%29,데옥시리보핵산,deoxyribonucleic acid (DNA),    핵산의 일종으로 라고도 한다. 의 중합체이며 유전자의 화학적 본체이다. 바이러스 이외의 모든 생물은 를 유전자로 지니고 있다. 디옥시리보뉴클레오티드()는 염기와 당()과 인산으로 이루어진다. 염기는 아데닌() 구아닌() 티민()및 시토신()의 가지이며 이것은 당에 부착되어 있다. 인산 역시 당의 한 부분에 부착되어 있다. 이 의 당은 다른  의 당과 인산을 사이에 놓고 결합을 하게 되어 하나의 긴 사슬을 형성하게 된다. 즉 당과 인산이 주축이 되어서 의 긴 사슬을 만든다.     이 의 사슬 두 개는 각각 에 부착되어 있는 염기들이 결합을 하여 두 개의 사슬이 결합되어 있는 이중나선 구조를 만들게 된다. 가지 염기 아데닌은 티민과 결합을 하고 시토신과 결합을 하게 된다. 즉 당과 인산은 긴 사슬을 만드는 역할을 하고 긴 사슬에 부착된 염기들의 결합에 의해서 두 개의 긴 사슬은 서로 붙어서 이중나선 구조를 만든다.    의 유전정보는 염기에 저장된다. 개의 염기의 조합과 배열이 유전정보를 보관하는 하나의 암호 역할을 행하게 된다.    
http://m.kmle.co.kr//ebook_terminology_view.php?Num=448&Md=7325f6a1e7e38af40868df1df403943d&TitleLetter=%B5%A6%BB%E7%B8%DE%C5%B8%C1%B8%3A+dexamethasone,덱사메타존,dexamethasone,    인공적으로 제조한 글루코코르티코이드의 역할을 하는 약제. 글루코코르티코이드란 부신겉질에서 나오는 호르몬의 일종으로 지방질과 단백질을 분해하여 당을 제조하여 혈중으로 내보내는 작용을 하고 몸에 저장되어 있는 당을 혈중으로 내보내고 면역기능을 억제하는 역할도 하는 호르몬이다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=449&Md=9187a6e1073582aeef48254e8af1d6d5&TitleLetter=%B5%AD%B1%E2%3A+dengue+fever,뎅기,dengue fever,    주로 열대지방에서 발생하는 바이러스성 열병. 일의 잠복기를 거쳐 급격하게 발열하고 결막충혈관절통근육통백혈구감소 등의 증상을 보인다. 대부분 일 후에는 회복되며 사망하는 예는 드물다. 미국의 세균학자인 .. 크레이그는 년 필리핀에서 뎅기열은 모기에 의해 감염된다는 것을 확인보고했다. 제차 세계대전 직후 미국의 세균학자 . . 세이빈은 그의 연구에 의해 뎅기열 바이러스에는 면역학적으로 네가지 형이 있다고 밝혔다. 뎅기열 바이러스를 매개하는 모기에는 이집트숲모기( )와 흰줄숲모기( )가 알려져 있다. 이 병에 걸리고 나면 면역이 생기지만 지속기간은 비교적 짧다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=450&Md=0464c6e04eb26ef1601acd8003d21504&TitleLetter=%B5%B5%BA%AE%B1%A4%3A+,도벽광,,   병적도벽 
http://m.kmle.co.kr//ebook_terminology_view.php?Num=451&Md=bcdf971ba06952543b428db849fc6036&TitleLetter=%B5%B5%C6%C4%B9%CE%3A+dopamine,도파민,dopamine,    히드록시티라민으로서 생리활성 아민카테콜아민의 일종. 분자식은 분자량은 .이다. 동식물에 존재하는 아미노산의 하나로 자외선 작용으로 티로신에서 형성되거나 의 탈탄산에 의해 체내에서 생산된다. 멜라닌 색소 합성 과정의 중간 물질로 콩과 식물에 저장되어 있다. 뇌신경 세포의 흥분 전달에 중요한 구실을 한다. 도파민산화효소의 작용에 의해 노르아드레날린이 된다. 부신수질뇌교감신경계폐작은창자간 등에도 많이 포함되어 있다. 파킨슨 증후군의 경우 뇌 안의 도파민 량이 감소되며 뇌줄기의 줄무늬체에는 노르아드레날린보다 도파민이 다량 포함되어 있음을 볼 수 있다는 점에서 도파민 자체가 이른바 카테콜아민을 함유하는 작동성 뉴런의 신경전달물질로서 작용하고 있음이 분명해졌다. 
http://m.kmle.co.kr//ebook_terminology_view.php?Num=452&Md=cbe45f7b0a1dd38ee05a6162491de3b6&TitleLetter=%B5%B6%B7%C2%2C+%B9%DF%BA%B4%B7%C2%2C+%B1%D5%B7%C2%3A+virulence,"독력, 발병력, 균력",virulence,    미생물의 병원성의 정도로서 치사율이나 숙주조직에의 침습능으로 나타낸다. 실험적으로는  치사량 또는  유효량()으로 측정한다. 넓은 의미에서는 병인적 효과를 초래하는 모든 감염인자의 능력이다.    
http://m.kmle.co.kr//ebook_terminology_view.php?Num=453&Md=961e65b289ed3456f1d9d52ba7379ff1&TitleLetter=%B5%B6%BC%BA%3A+toxicity,독성,toxicity,    생체에 있어 바람직하지 않은 약물 작용을 말한다. 약물을 과량으로 사용하면 중독을 일으키며 심한 경우에는 죽음에 이르는데 이는 약물의 급성 독성이다. 만성 독성은 소량을 장기간 반복 섭취하였을 때의 독성이다. 간 콩팥 등 여러 장기와 조직에 대한 독성 외에 기형유발성 발암성 등도 약물독성이다. 약물독성의 강약은 급성 독성검사() 만성 독성검사 기형유발검사 발암검사 번식검사 기타 여러 동물검사에 의해 판정된다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=454&Md=14a1845f642961603eb29541a41b4d0a&TitleLetter=%B5%B6%BC%D2%3A+toxin,독소,toxin,    생물체가 만들어내는 독성과 항원성을 가진 물질. 독소를 적당한 동물에 주사하면 항체인 항독소가 생성되고 이 항독소와 독소는 특이적으로 결합한다. 세균에 의한 단백분해산물로 맹독성을 발휘나는 것에 아민이 있으나 이것에는 항원성이 없으므로 독소가 아니다. 일반적으로 중독증상을 발현하는데 일정한 시간이 걸리며 동물에 따라 감수성이 다른 점이 독물과 다르다. 독소에는 생물체 안에 만들어져 남아 있다가 생물체가 파괴되었을 때 독성을 갖는 내독소()와 생물체가 주변으로 물질을 분비하는 외독소()가 있다. 독소를 내는 생물체에 따라 세균성 독소 외에 동물성 독소 및 식물성 독소가 있다. 동물성 독소는 대부분 독선에서 분비되며 뱀전갈거미벌 등이 대표적인 것이다. 식물성 독소로는 리신()아브린()로비닌()크로틴() 등이 있다. 세균은 인체에 영향을 미쳐 디프테리아파상풍성홍열가스괴저 등을 일으키고 또 어떤 세균과 버섯류는 생장할 때 독소를 분비 이것을 먹으면 보툴리누스 중독맥각 중독 등을 일으킨다. 그 밖에 물고기에도 독성을 가진 것이 있다. 인체에는 독소가 들어왔을 때 그와 결합하여 독성을 해독시키는 항독소가 혈청림프액 등에 생긴다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=455&Md=3c873c7cca6daa2b408289b8653ed70a&TitleLetter=%B5%B9%B1%E2%3A+condyle,돌기,condyle,    뼈의 관절하는 부분에 둥글고 원형으로 튀어 나온 부위.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=456&Md=52471632639a2b423d8b9ec493a54953&TitleLetter=%B5%B9%BF%AC%BA%AF%C0%CC%3A+mutation,돌연변이,mutation,    세포의  자체의 변이에 의해 일어나는 세포변이를 말한다. 이러한 경우 돌연변이로 일어난 세포는 그 이후 딸세포( )에서도 그 변이가 여전히 유지되므로 종()의 변화나 혹은 세포의 악성변환( )에 관여한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=457&Md=9efc0c18eaf6367b0b1b3c32d77372de&TitleLetter=%B5%B9%C3%A2%C0%DA%2C+%C8%B8%C0%E5%3A+ileum,"돌창자, 회장",ileum,    빈창자에 연결된 작은창자. 기능은 빈창자와 유사하지만 빈창자에 비해서 주름의 수가 적고 벽이 얇고 직경이 작다. 작은창자의 먼 데로 빈창자에서 막창자사이에 있는 부분이다. 작은창자의 약 를 차지하며 복강의 오른쪽아래에 있다. 점막의 돌림주름이 빈창자보다 드물고 개의 집합림프소절이 산재하고 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=458&Md=0964163321c8da60e772914eabe58df7&TitleLetter=%B5%BF%B0%F8%3A+pupil,동공,pupil,    홍채의 중앙부에 있는 구멍으로 여기를 통하여 눈으로 빛이 들어오게 된다. 흔히 밖에서 보아 가운데 가장 까만 부분을 이른다.
